,user_names,comment_ratings,comment_dates,comment_contents
69,子夜,50,2020-08-13,这剧本絮絮叨叨，拉拉杂杂，一点都不起伏跌宕精彩纷呈，但是上帝啊，它的讲述就是这么深入人心！还有这表演，不惊不狂，日常得很，半点精湛的迹象都没有，但是哦卖糕的，影帝这玩艺已经再也不需要了。
70,重阳楼过,50,2020-08-10,看完令人辗转反侧 久久不能忘怀 伟大的作品
71,茫然骑士,40,2020-08-10,"这一季完全都不想看dp交易那一群人了
完全聚焦在指头叔选战上，原来以为他会是个反派，没想到是个decent man 
Mac这一季纯打酱油，不知是不是得罪了制片人还是怎么的，还好结尾应该是要回归了
最令人开心的就是和港口小女警在一起了，第三季看不到她还蛮遗憾的，这两个看起来是不错的一对啊"
72,人号,50,2020-08-08,chaos
73,VelocityBunny,50,2020-07-26,最喜欢的一季!! 所有人都在成长
74,Perfect World,50,2020-07-23,"格局太宏大了，这一季将重点放在了教育系统和原生家庭对corner kids的影响。多条线有条不紊地并进与关联，剧情看得让人喘不过气却欲罢不能，这种面对命运的无力感沉重而又悲凉。some other comments: 才发现Cheese是Method Man演的lol; Herc简直成事不足败事有余; Bubble真的太可怜了... Prez这季摇身一变正能量之光; Bodie is a real solider, 棋盘卒子的比喻跟第一季呼应让人感慨颇深; 最后Daniels和Lester回到老地方重组Major Crimes Unit的场景简直热泪盈眶。每一季结局的蒙太奇都是艺术品。"
75,惘日,50,2020-07-22,历史背景
76,循环de太阳,50,2020-07-17,反应现代美国社会问题的写实之作，什么时候我们也能拍这样的剧就好了。
77,yiyi,50,2020-07-15,最后一幕的十字路口韵味十足
78,Keyon,50,2020-07-11,一直想学Bodie从牙缝里吐口水
79,背风,50,2020-07-08,依旧精彩
80,不啦叽,0,2020-07-05,respect
81,ALush,50,2020-07-04,该怎样还是怎样
82,Mirka,50,2020-07-03,精彩极了的一季，一如既往的真实和饱满之余，编剧变得好温柔，我看到的是那么多的善良，孩子们的、asshole们的，从这个肮脏罪恶的巴尔的摩生长出来的美好，真让人飙泪。
83,猥,50,2020-07-01,快乐教育真是拿黑人当猪养。
